category,title
actualite,"['pact', 'mondial', 'migrat', 'optim', 'veil', 'conférent', 'marrakech', 'marrakech-', 'afriqu', 'création', 'forum', 'région', 'africain', 'parl', 'européen', 'vot', 'commiss', 'confirm', 'vision', 'strateg', 'relat', 'maroc-u', 'maroc', 'lanc', 'réuss', 'deuxiem', 'satellit', 'organis', 'conjoint', 'mondial', '2030', 'entre', 'espagn', 'portugal', 'maroc', 'marin', 'royal', 'port', 'assist', 'voili', 'batt', 'pavillon', 'suédois', 'difficult', 'larg', 'bouznik', 'sâad', 'eddin', 'othman', 'inaugur', 'salon', 'international', 'bât', 'mezouar', 'désign', 'président', 'conseil', 'consult', 'medaweek', 'barcelon', 'lanc', 'succes', 'satellit', 'mohammed', 'vi-b', 'depuis', 'bas', 'kourou', 'guyan', 'français', 'casablanc', 'connaît', 'déjà', 'favor', 'cours', 'gestion', 'group', 'thal', 'nomm', 'nouveau', 'maroc', 'absenc', 'annonc', 'pact', 'mondial', 'migrat', 'prévu', 'marrakech', 'mondial', 'conjoint', 'scel', 'relat', 'séculair', 'entre', 'rabat', 'madrid', 'coup', 'mond', 'trois', 'pourquoi', 'star', 'zayn', 'malik', 'consider', 'plus', 'comm', 'musulman', 'évit', 'froid', 'chien', 'abandon', 'trouvent', 'refug', 'ike', 'aquaman', 'dévoil', 'bande-annonc', 'final', 'snoop', 'dogg', 'félicit', 'snoop', 'dogg', 'étoil', 'hollywood', 'hailey', 'baldwin', 'justin', 'bieb', 'mari', ""c'est"", 'officiel']"
afrique,"['tunis', 'fonctionnair', 'public', 'grev', 'afriqu', 'plusieur', 'convent', 'sign', 'cadr', 'développ', 'territorial', 'tunis', 'grev', 'général', 'fonction', 'publiqu', 'élect', 'afriqu', 'forum', 'région', 'africain', 'voit', 'jour', 'marrakech']"
culture,"['fim', 'célebr', 'anniversair', 'dakhl', 'manal', 'benchlikh', 'présent', 'crew', 'influenc', 'nouveau', 'clip', 'slay', 'voic', 'franc', 'plus', 'influent', 'mond', '2018', 'hajj', 'tout', 'festival', 'international', 'film', 'marrakech', 'caftan', 'maroc', 'honneur', 'paris', 'festival', 'film', 'marrakech', 'voic', 'composit', 'jury', 'festival', 'marrakech', 'rend', 'hommag', 'jillal', 'ferhat', 'festival', 'international', 'film', 'marrakech', 'film', 'compétit', 'officiel', 'décroch', ""l'étoil"", 'festival', 'international', 'film', 'marrakech', 'dévoil', 'film', 'sélect', 'officiel', 'festival', 'international', 'film', 'marrakech', '2018', 'annonc', 'jury', 'liban', 'invit', ""d'honneur"", 'festival', 'international', 'cinem', ""d'auteur"", 'rabat', 'mobil', 'film', 'festival', 'revient', 'édit', 'dédi', 'droit', ""l'homm"", 'film', 'marocain', 'madagh', 'capital', 'mondial', 'soufism', 'novembr', ""l'occas"", 'mawlid']"
economie,"['sebt', 'visiteur', 'marocain', 'boostent', 'économ', 'local', 'espagnol', 'pullmantur', 'mis', 'agad', 'attir', 'plus', 'mill', 'croisier', 'organis', 'haut-commissariat', 'eau', 'forêt', 'concour', 'international', 'position', 'souss', 'pêch', 'kill', 'depf', 'conjonctur', 'économ', 'amélior', 'afriqu', 'lanc', 'bours', 'projet', 'partenariat', 'prof', 'collect', 'local', 'africain', 'satellit', 'mohammed', 'vi-b', 'maroc', 'espac', 'servic', 'développ', 'textil', 'signatur', 'rabat', ""d'un"", 'convent', 'maroco-suiss', 'nissan', 'confirm', 'révoc', ""l'unanim"", 'président', 'carlos', 'ghosn', 'enseign', 'futur', 'cybersécur', 'cred', 'maroc', 'lanc', 'plateform', 'multi-banqu', 'portnet', 'mutand', 'bours', 'détail', 'oper', 'fondat', 'attijariwaf', 'bank', 'soutient', 'grand', 'écol', 'emiss', 'obligatair', 'réuss', 'group', 'omran', '2019', 'huawei', 'disponibl', 'e-commerc', 'zon', 'franch', 'agad', 'bientôt', 'opérationnel', 'nouvel', 'offre', 'maserat', 'voic', 'nouveau', 'directeur', 'général', 'thal', 'maroc', 'benchâaboun', 'dimanch', 'alger', 'tax', 'hydrocarbur', 'bon', 'nouvel', 'patron', 'stations-servic', 'cred', 'agricol', 'veut', 'form', '20.000', 'agriculteur', 'horizon', '2020', 'tarif', 'expliqu', 'oncf', 'video', '2019', 'nouveau', 'franch', 'plan', 'maroc', 'vert', 'aziz', 'akhannouch', 'visit', 'terrain', 'berkan', 'pékin', 'reçoit', 'médaill', 'grupo', 'planet', 'maroc', 'détail', 'oper', 'envergur', 'video', 'ouvr', 'port', 'casablanc', 'sidérurg', 'sud-coréen', 'posco', 'pourr', 'bientôt', 'integr', 'march', 'marocain', 'mesur', 'antidumping', ""l'aci"", 'maroc', 'fait', 'appel', ""d'un"", 'décis', ""l'omc"", 'faveur', 'turqu', 'oriental', 'sound', 'energy', 'abandon', 'forag', ""d'un"", 'puit', 'maroc', 'grandland', 'dernier-n', 'famill', 'opel-x', 'fait', 'entré', 'maroc', 'passat', 'pouvoir', 'entre', 'abdelal', 'benamour', 'driss', 'guerraou', 'nouveau', 'président', 'conseil', 'concurrent', 'driss', 'guerraou', 'nomm', 'têt', 'conseil', 'concurrent', 'mutand', 'annonc', 'introduct', 'bours', 'casablanc', ""l'histoir"", 'chemin', 'maroc', 'dates-cl', 'plus', 'décideur', 'particip', '6em', 'édit', 'observatoir', 'international', 'commerc', 'societ', 'maroc', 'port', 'bien', 'plus', 'million', 'euros', 'bénéfic', '2017', 'class', 'banqu', 'umo', 'trois', 'banqu', 'marocain', 'casablanc', 'othman', 'inaugur', 'salon', 'international', 'bât']"
international,"['nissan', 'carlos', 'ghosn', 'révoqu', 'post', 'président', 'veut', 'accalm', 'yémen', 'avant', 'consult', 'paix', 'bahreïn', 'législ', 'san', 'enjeu', 'polit', 'concentr', 'record', 'effet', 'serr', '2017', 'selon', 'chef', 'gouvern', 'espagnol', 'cub', 'voyag', 'ined', 'sud-coréen', 'jong-yang', 'président', 'interpol', 'tempêt', 'tenerif', 'arrach', 'balcon', 'immeubl', 'centain', 'plaint', 'dépos', 'litig', 'immobili', 'franc', 'étudi', 'étranger', 'vont', 'devoir', 'pai', 'plus', '770€', 'immigr', 'soulign', 'fort', 'engag', 'maroc', 'états-un', 'homm', 'accus', ""d'avoir"", 'sort', 'arme', 'dev', 'jeun', 'musulman', 'mcdonald', 'minnesot', 'dict', 'tous', 'arriv', 'agad', 'novembr', 'maroc', 'financ', 'quasi-total', 'mosqu', 'ceut', 'melill', 'beb', 'pass', 'sous', 'train', 'inde', ""s'en"", 'sort', 'sain', 'sauf', 'derni', 'lign', 'droit', 'avant', ""l'adopt"", ""l'accord"", 'agricol', 'maroc-u', 'parl', 'européen', 'airbnb', 'retir', 'colon', 'israélien', 'cisjordan', 'israël', 'menac', 'représaill', ""l'augment"", 'frais', 'scolar', 'vis', 'meilleur', 'accueil', 'étudi', 'étranger', 'franc', 'selon', 'directric', ""l'institut"", 'franc', 'maroc', 'cachalot', 'trouv', 'mort', 'plastiqu', 'ventr', 'cinq', 'bless', 'travaill', 'humanitair', 'italien', 'enlev', 'keni', 'attaqu', 'armé', 'forum', 'paris', 'paix', 'repens', 'multilatéral', 'orbit', 'mohammed', 'vi-b', 'second', 'satellit', 'lanc', 'maroc', 'rencontr', 'écol', 'canadien', 'casablanc', 'rabat', 'tariq', 'ramadan', ""s'exprim"", 'premi', 'fois', 'depuis', 'mis', 'libert', 'conditionnel', 'journ', 'mondial', ""l'enf"", ""l'unicef"", ""l'ond"", 'lancent', 'maroc', 'pétit', 'mondial', 'émirat', 'arab', 'unis', 'arrest', ""d'un"", 'marocain', 'soupçon', ""d'avoir"", 'découp', 'cuisin', 'corp', 'pet', 'pourquoi', 'visit', 'pedro', 'sanch', 'maroc', 'revêt', 'import', 'particuli', 'espagn', 'vacar', 'pres', 'barcelon', 'glissement', 'terrain', 'fait', 'déraill', 'train', 'ivank', 'trump', 'utilis', 'boît', 'personnel', 'envoi', 'mail', 'gouvernemental', 'audienc', 'royal', 'conclur', 'premi', 'visit', 'pedro', 'sanch', 'maroc', 'cet', 'vidéo', 'chass', 'fait', 'scandal', 'espagn', 'franc', 'annonc', 'hauss', 'frais', 'scolar', 'étudi', 'non-européen', 'coup', 'mond', '2030', ""l'espagn"", 'propos', 'maroc', 'candidatur', 'conjoint', 'portugal', 'maroc', 'particip', 'premi', 'fois', 'world', 'robot', 'olympiad', 'migr', 'marocain', 'perdus', 'larg', 'île', 'canar', 'apres', 'naufrag', 'embarc', 'président', 'gouvern', 'espagnol', 'pedro', 'sanch', 'reçu', 'lund', 'matin', 'othman', 'nas', 'veut', 'retourn', 'lun', 'bande-annonc', 'dign', ""d'un"", 'blockbust', 'brex', 'pens', 'rest', 'europ', 'pend', 'royaume-un', 'déchir', 'affair', 'khashogg', 'donald', 'trump', 'veut', 'écout', 'tres', 'violent', 'enregistr', 'meurtr', 'journal', 'david', 'hallyday', 'boulevers', 'avoir', 'voir', 'johnny', 'jour', 'mort', 'président', 'algérien', 'bouteflik', 'adress', 'messag', 'mohammed', 'anniversair', 'indépend', 'malgr', 'incend', 'californ', 'trump', 'chang', ""d'av"", 'réchauff', 'climat', 'medh', 'benati', 'nomm', 'troph', 'footballeur', 'africain', ""l'ann"", 'président', 'gouvern', 'espagnol', 'annonc', 'visit', 'maroc', 'lund', 'maroc', 'class', 'pay', 'plus', 'mond', 'voyag', 'états-un', 'détermin', ""d'ic"", 'mard', 'jamal', 'khashogg', 'viand', 'laboratoir', 'plus', 'plus', 'proch', ""d'êtr"", 'autoris', 'états-un', 'youtubeur', 'franc', 'bilal', 'hassan', 'cyber-harcel', 'déput', 'interpellent', 'twitt', 'facebook', 'sous', 'critiqu', 'apres', 'rével', 'york', 'tim', 'mort', 'khashogg', 'ordon', 'mohammed', 'salman', 'affirm', 'vir', 'maison', 'blanch', 'trump', 'journal', 'obtient', 'gain', 'caus', 'dev', 'justic', 'voic', 'sujet', 'bilatéral', 'abord', 'ministr', 'franc', 'leur', 'homologu', 'marocain', 'est-ce', ""s'apprêt"", 'ressort', 'sous', 'form', 'inattendu', 'marocain', 'souhaitent', 'quitt', 'maroc', 'selon', 'enquêt', 'sécur', 'routi', 'pay', 'signent', 'déclar', 'marrakech', ""l'incend"", 'paradis', 'californ', 'fait', 'plus', 'disparus', 'comment', 'est-on', 'arriv', 'californ', 'cet', 'photo', 'paradis', 'don', ""l'impress"", 'vill', 'sub', 'attaqu', 'nucléair', '+212', '1994', 'rwand', 'mort', 'cub', 'point', 'dot', 'nouvel', 'constitution…', 'franc', 'femm', 'forc', 'retir', 'voil', 'gilet', 'jaun', 'affair', 'khashogg', 'fait', 'rével', 'meurtr', 'khashogg', 'dédouan', 'justic', 'saoudien', 'tariq', 'ramadan', 'rem', 'libert', 'sous', 'condit']"
maroc,"['début', 'répons', 'alger', 'mohammed', 'maroc', 'nouveau', 'radar', 'intelligent', 'bientôt', 'install', 'rout', 'arrest', 'carlos', 'ghosn', 'quel', 'impact', 'maroc', 'maroc', 'pouv', 'pai', 'infract', 'routi', 'cart', 'bancair', 'essaou', 'enfant', 'emport', 'cru', 'casablanc', 'conducteur', 'mdin', 'vir', 'caus', 'vidéo', 'satellit', 'mohammed', 'vi-b', 'regard', 'lanc', 'direct', 'liv', 'grâc', 'royal', 'prof', 'person', 'rabat', 'mohammed', 'reçu', 'pedro', 'sanch', 'casablanc', 'vagu', 'gé', 'sèment', 'paniqu', 'diab', 'video', 'mondial', '2030', 'pedro', 'sanch', 'tend', 'main', 'maroc', 'alert', 'météo', 'fort', 'plui', 'plusieur', 'région', 'maroc', 'acteur', 'tarik', 'bakhar', 'endeuill', 'grav', 'accident', 'rout', 'apres', 'victoir', 'berkan', 'casablanc', 'nouvel', 'effondr', 'ancien', 'médin', 'gratuit', 'pend', 'trois', 'jour', 'maroc', 'sait', 'plus', 'dat', 'mis', 'servic', 'commercial', 'marocain', 'mohammed', 'recevoir', 'chef', 'gouvern', 'espagnol', 'alert', 'météo', 'voic', 'vill', 'pleuvoir', 'maroc', 'météo', 'temp', 'fer', 'samed', 'maroc', 'immigr', 'clandestin', 'arrest', 'person', 'berkan', 'tang', 'arrest', 'femm', 'trafic', 'drogu', 'latif', 'raafat', 'port', 'plaint', 'contr', 'chef', 'gouvern', 'marrakech', 'arrest', 'trois', 'individus', 'trafic', 'drogu', 'adulter', 'assur', 'malad', 'gouvern', 'pris', 'décis', 'connaît', 'désorm', 'prix', 'marocain', 'alert', 'météo', 'fort', 'plui', 'vagu', 'gé', 'maroc', 'jadid', 'polici', 'agress', 'inconnus', 'emmanuel', 'macron', 'quitt', 'maroc', 'rabat', 'deux', 'polici', 'arrêt', 'corrupt', 'marrakech', 'dram', 'évit', 'justess']"
politique,"['déput', 'décortiquent', '2019', 'rencontr', 'habit', 'martil', 'président', 'assembl', 'général', 'soulign', 'fort', 'engag', 'maroc', 'question', 'migrat', 'conquêt', 'alger', 'avocat', 'maroc', 'portent', 'plaint', 'contr', 'othman', 'maroc-alger', 'washington', 'réag', 'discour', 'royal', 'messag', 'famill', 'bark', 'mohammed', 'emmanuel', 'macron']"
societe,"['+212', 'pris', 'meilleur', 'décis', 'jour', ""j'ai"", 'arrêt', 'réflech', 'aven', 'voul', 'test', 'gratuit', 'boraq', 'voic', 'condit', 'rempl', 'profit', 'voyag', 'arabi', 'maroc', 'annonc', 'lisbon', 'tun', 'comm', 'nouvel', 'destin', 'départ', 'casablanc', 'part', 'mar', '2019', 'grâc', 'royal', 'accord', 'person', ""l'occas"", ""l'aïd"", 'mawlid', 'al-nabaw', 'vis', 'franc', 'nouvel', 'procédur', 'vigueur', 'part', 'décembr', 'premi', 'festival', 'africain', 'sécur', 'routi', 'distingu', 'marrakech', 'meilleur', 'film', 'boraq', 'rail', 'modern', 'sal', 'fêt', 'mawlid', 'al-nabaw', 'sal', 'splendeur', 'promess', 'voyag', 'cœur', 'sal', 'salon', 'international', 'bât', 'droit', 'enfant', 'unicef', 'onde', 'lancent', 'pétit', 'mondial', 'asilah', 'fermetur', 'sit', 'kriki', 'affect', 'activ', 'tourist', 'marin', 'royal', 'port', 'secour', 'voili', 'suédois', 'larg', 'bouznik', 'adopt', 'résolu', 'marocain', 'promot', 'tourism', 'durabl', 'thaïland', 'world', 'robot', 'olympiad', 'jeun', 'marocain', 'mesur', 'meilleur', 'équip', 'robot', 'mond', 'univers', 'franc', 'augment', 'frais', 'scolar', 'étudi', 'étranger', 'mawlid', 'al-nabaw', 'grâc', 'royal', 'prof', 'person', 'affair', 'jardin', 'majorel', 'hériti', 'jacqu', 'majorel', 'débout', 'justic', 'français', 'pétit', ""s'oppos"", 'hauss', 'frais', ""d'inscript"", 'étudi', 'extra-européen', 'franc', 'servic', 'militair', 'obligatoir', 'milieu', 'carcéral', 'quel', 'lien', 'artist', 'citoyen', 'mobilisent', 'musicien', 'arrêt', 'hashtag', 'free-lfen', 'emploi', 'diplôm', 'chômeur', 'malvoi', 'refusent', 'concour', 'recrut', ""d'administr"", 'jour', 'gratuit', 'avant', 'mis', 'servic', 'commercial', 'novembr', 'communaut', 'juiv', 'royaum', 'célebr', 'marocan', 'marrakech', 'inaugur', 'nouvel', 'gar', 'rabat-agdal', 'journ', ""l'enf"", ""d'un"", 'matern', 'péripher', 'casablanc', 'plui', 'orag', 'neig', 'week-end', 'plusieur', 'vill', 'maroc', 'hachak', 'vidéo', 'poign', ""d'un"", 'marocain', 'dénonc', 'cultur', 'dénigr', 'femm', 'test', 'voyag', 'rabat-tang', 'bord', 'boraq', 'manifest', 'élev', 'othman', 'appel', 'dialogu', 'national', 'apres', ""l'inaugur"", ""l'oncf"", 'dévoil', 'prix', ""d'al"", 'boraq', 'marocain', 'juif', 'résid', ""l'étrang"", 'célèbrent', 'leur', 'racin', 'marrakech', 'maroc', 'connaîtr', 'mini-tsunam', 'prochain', 'jour', 'dépress', 'creus']"
sport,"['football', 'lion', 'atlas', 'battent', 'tunis', 'football', 'maroc', 'tunis', 'match', 'amical', 'mondial', '2030', 'ver', 'candidatur', 'conjoint', 'maroc-portugal-espagn', 'tunisie-maroc', 'composit', 'lion', 'atlas', 'tunisie-maroc', 'quel', 'heur', 'quel', 'chaîn', '2019', 'touch', 'frmf', 'apres', 'qualif', 'maroc', 'officiel', 'maroc', 'qualifi', '2019', 'franc', 'pays-b', 'but', 'match', 'vidéo', 'eliminatoir', '2019', 'tous', 'but', 'egypte-tunis', 'vidéo', 'herv', 'renard', 'apres', 'maroc-cameroun', 'vidéo', 'maroc-cameroun', 'voic', 'but', 'rencontr', 'vidéo', 'eliminatoir', '2019', 'maroc', 'impos', 'fac', 'cameroun', 'premi', 'maroc', 'fac', 'cameroun', 'vidéo', 'match', 'entre', 'maroc', 'cameroun', 'mi-temp', 'maroc-cameroun', 'direct', 'eliminatoir', '2019', 'maroc-cameroun', 'regard', 'match', 'direct', 'liv', 'maroc-cameroun', 'voic', 'onze', 'départ', 'lion', 'atlas', 'nik', 'gât', 'fan', 'barcelon', 'pens', 'mehd', 'benati', 'public', 'casablanc', 'wydad', 'casablanc', 'ren', 'girard', 'pris', 'décis', 'herv', 'renard', 'remet', 'plac', 'journal', 'conf', 'press', 'video', 'ligu', 'tous', 'but', 'croatie-espagn', 'vidéo', 'herv', 'renard', 'peur', 'cameroun', 'vidéos', 'maroc-cameroun', 'derni', 'séanc', 'entraîn', 'sélect', 'vidéo', 'ronaldo', 'georgin', 'bientôt', 'mari', 'maroc', 'sort', 'gagn', 'combat', 'amical', 'rades']"
tourisme,"['signatur', 'jumelag', 'vill', 'français', 'frontignan', 'peyrad', 'vidéo', 'maroc', 'lanc', 'satellit', 'mohammed', 'vi-b', 'satellit', 'marocain', 'mohammed', 'vi-b', 'point', 'être', 'orbit', 'taz', 'spéléologu', 'marocain', 'initient', 'spéléosecour']"
video,"['princ', ""d'abu"", 'dhab', 'paris', 'demandent', 'macron', 'oubli', 'yémen', 'martin', 'fayulu', 'candidat', ""l'opposit"", 'présidentiel', 'congo', 'arriv', 'kinshas', 'irak', 'iran', 'commerc', 'def', 'sanction', 'gilet', 'jaun', ""l'etat"", 'franc', 'intrait', 'macron', 'restructur', 'économ', 'chez', 'ike', 'gobelet', 'tong', 'plastiqu', 'aval', 'cachalot', 'indones', 'jouet', 'dénonc', 'abus', 'sexuel', 'mineur', 'colomb', 'gobelet', 'tongs…', 'plastiqu', 'aval', 'cachalot', 'indones', 'restructur', 'économ', 'chez', 'ike', 'princess', 'lall', 'meryem', 'présid', 'rabat', 'réunion', 'conseil', 'administr', 'fondat', 'hassan', '2018', 'coup', 'envoi', 'édit']"
